Sample,Histone_Mark,Tool,State,Peak_Count,State_Bp,Overlap_Bp,Enrichment_Score
SRR31972735,H3K27me3,GoPeaks,8_ZNF/Rpts,11823,4187737,2189000,8.1235
SRR31972735,H3K27me3,GoPeaks,14_ReprPCWk,11823,353341693,659990000,29.0283
SRR31972735,H3K27me3,GoPeaks,6_EnhG,11823,16260772,4309000,4.1183
SRR31972735,H3K27me3,GoPeaks,1_TssA,11823,23697787,29516000,19.3566
SRR31972735,H3K27me3,GoPeaks,12_EnhBiv,11823,1536844,115417000,1167.1288
SRR31972735,H3K27me3,GoPeaks,2_TssAFlnk,11823,22504393,49572000,34.2332
SRR31972738,H3K27me3,GoPeaks,11_BivFlnk,12598,302634,44647000,1459.5096
SRR31972738,H3K27me3,GoPeaks,4_Tx,12598,80021415,3571000,0.4415
SRR31972738,H3K27me3,GoPeaks,9_Het,12598,19735745,43255000,21.6828
SRR31972738,H3K27me3,GoPeaks,15_Quies,12598,1872511958,274292000,1.4492
SRR31972738,H3K27me3,GoPeaks,10_TssBiv,12598,309061,32575000,1042.7318
SRR31972738,H3K27me3,GoPeaks,5_TxWk,12598,332621608,106037000,3.1538
SRR31972738,H3K27me3,GoPeaks,7_Enh,12598,85193746,360719000,41.8884
SRR31972738,H3K27me3,GoPeaks,13_ReprPC,12598,22438620,1028995000,453.6799
SRR31972738,H3K27me3,GoPeaks,3_TxFlnk,12598,5328410,1450000,2.6922
SRR31972738,H3K27me3,GoPeaks,8_ZNF/Rpts,12598,4187737,4386000,10.3615
SRR31972738,H3K27me3,GoPeaks,14_ReprPCWk,12598,353341693,1472232000,41.2205
SRR31972738,H3K27me3,GoPeaks,6_EnhG,12598,16260772,1412000,0.8591
SRR31972738,H3K27me3,GoPeaks,1_TssA,12598,23697787,80289000,33.5182
SRR31972738,H3K27me3,GoPeaks,12_EnhBiv,12598,1536844,235937000,1518.7933
SRR31972738,H3K27me3,GoPeaks,2_TssAFlnk,12598,22504393,137013000,60.2319
SRR31972739,H3K27me3,GoPeaks,11_BivFlnk,12475,302634,42491000,1450.5290
SRR31972739,H3K27me3,GoPeaks,4_Tx,12475,80021415,3511000,0.4533
SRR31972739,H3K27me3,GoPeaks,9_Het,12475,19735745,42264000,22.1240
SRR31972739,H3K27me3,GoPeaks,15_Quies,12475,1872511958,249324000,1.3756
SRR31972739,H3K27me3,GoPeaks,10_TssBiv,12475,309061,31282000,1045.6768
SRR31972739,H3K27me3,GoPeaks,5_TxWk,12475,332621608,100021000,3.1066
SRR31972739,H3K27me3,GoPeaks,7_Enh,12475,85193746,338253000,41.0186
SRR31972739,H3K27me3,GoPeaks,13_ReprPC,12475,22438620,969264000,446.2653
SRR31972739,H3K27me3,GoPeaks,3_TxFlnk,12475,5328410,1782000,3.4551
SRR31972739,H3K27me3,GoPeaks,8_ZNF/Rpts,12475,4187737,4197000,10.3540
SRR31972739,H3K27me3,GoPeaks,14_ReprPCWk,12475,353341693,1388388000,40.5941
SRR31972739,H3K27me3,GoPeaks,6_EnhG,12475,16260772,1789000,1.1366
SRR31972739,H3K27me3,GoPeaks,1_TssA,12475,23697787,76405000,33.3090
SRR31972739,H3K27me3,GoPeaks,12_EnhBiv,12475,1536844,223030000,1499.2729
